Bairro,Vizinho,Logradouro,Tipo
Morro da Conceição,Vasco da Gama,"['Rua I tabaiana', 'Rua do Dende']",residential
Parnamirim,Jaqueira,Avenida Parnamirim,secondary
Parnamirim,Tamarineira,Avenida Parnamirim,secondary
Parnamirim,Santana,Avenida Parnamirim,secondary
Parnamirim,Casa Amarela,Avenida Parnamirim,secondary
Parnamirim,Casa Forte,Avenida Parnamirim,secondary
Poço da Panela,Cordeiro,Rua dos Arcos,residential
Poço da Panela,Santana,Rua Paulo Inojosa,residential
Poço da Panela,Casa Amarela,Rua dos Arcos,residential
Poço da Panela,Casa Forte,Rua dos Arcos,residential
Poço da Panela,Iputinga,Rua dos Arcos,residential
Poço da Panela,Monteiro,Rua dos Arcos,residential
Beberibe,Linha do Tiro,Rua Taguatinga,tertiary
Beberibe,Porto da Madeira,Rua Taguatinga,tertiary
Beberibe,Água Fria,Rua Taguatinga,tertiary
Beberibe,Dois Unidos,Rua Taguatinga,tertiary
Bomba do Hemetério,Arruda,Rua São Gabriel,residential
Bomba do Hemetério,Alto José do Pinho,Rua São Gabriel,residential
Bomba do Hemetério,Mangabeira,Rua São Gabriel,residential
Bomba do Hemetério,Alto Santa Teresinha,Rua São Gabriel,residential
Bomba do Hemetério,Água Fria,Rua São Gabriel,residential
Cajueiro,Campina do Barreto,"['Rua Maria Ramos', 'Rua Couto Soares']",residential
Cajueiro,Fundão,Rua Couto Soares,residential
Cajueiro,Porto da Madeira,Rua Maria Ramos,residential
Campina do Barreto,Arruda,Rua Iguatu,residential
Campina do Barreto,Peixinhos,Rua dos Peixinhos,residential
Campina do Barreto,Cajueiro,Rua Iguatu,residential
Campina do Barreto,Fundão,Rua Iguatu,residential
Campina do Barreto,Água Fria,Rua Iguatu,residential
Fundão,Cajueiro,Avenida Beberibe,primary
Fundão,Campina do Barreto,Avenida Beberibe,primary
Fundão,Porto da Madeira,Avenida Beberibe,primary
Fundão,Água Fria,Avenida Beberibe,primary
Linha do Tiro,Beberibe,Rua Santa Mercedes,residential
Linha do Tiro,Alto Santa Teresinha,Rua Santa Mercedes,residential
Linha do Tiro,Água Fria,Rua Santa Mercedes,residential
Linha do Tiro,Alto José Bonifácio,Rua Santa Mercedes,residential
Linha do Tiro,Brejo de Beberibe,Rua Rio Igarapé,residential
Linha do Tiro,Dois Unidos,Rua Santa Mercedes,residential
Mangabeira,Tamarineira,Rua Azurita,residential
Mangabeira,Arruda,Rua Azurita,residential
Mangabeira,Alto José do Pinho,Rua Azurita,residential
Mangabeira,Casa Amarela,Rua Azurita,residential
Mangabeira,Bomba do Hemetério,Rua Azurita,residential
Porto da Madeira,Beberibe,Rua Belo Horizonte,residential
Porto da Madeira,Cajueiro,Rua Belo Horizonte,residential
Porto da Madeira,Fundão,Rua Belo Horizonte,residential
Porto da Madeira,Água Fria,Rua Belo Horizonte,residential
Alto Santa Teresinha,Alto José do Pinho,Rua Aurea,residential
Alto Santa Teresinha,Bomba do Hemetério,Rua Andricora,residential
Alto Santa Teresinha,Linha do Tiro,Rua Andricora,residential
Alto Santa Teresinha,Água Fria,Rua Andricora,residential
Alto Santa Teresinha,Alto José Bonifácio,Rua Andricora,residential
Água Fria,Arruda,Rua Luiz Cerqueira,residential
Água Fria,Beberibe,Rua Luiz Cerqueira,residential
Água Fria,Bomba do Hemetério,Rua Luiz Cerqueira,residential
Água Fria,Campina do Barreto,Rua Luiz Cerqueira,residential
Água Fria,Fundão,Rua Luiz Cerqueira,residential
Água Fria,Linha do Tiro,Rua Luiz Cerqueira,residential
Água Fria,Porto da Madeira,Rua Luiz Cerqueira,residential
Água Fria,Alto Santa Teresinha,Rua Luiz Cerqueira,residential
Alto José Bonifácio,Alto José do Pinho,Rua São Domingos Sávio,residential
Alto José Bonifácio,Morro da Conceição,Rua São Domingos Sávio,residential
Alto José Bonifácio,Linha do Tiro,Rua Tejipio,residential
Alto José Bonifácio,Alto Santa Teresinha,Rua Tejipio,residential
Alto José Bonifácio,Vasco da Gama,Rua São Domingos Sávio,residential
Alto José Bonifácio,Brejo de Beberibe,Rua São Domingos Sávio,residential
Córrego do Jenipapo,Macaxeira,Rua dos Coquinhos,residential
Córrego do Jenipapo,Nova Descoberta,Rua dos Coquinhos,residential
Córrego do Jenipapo,Apipucos,Rua dos Coquinhos,residential
Córrego do Jenipapo,Dois Irmãos,Rua dos Coquinhos,residential
Córrego do Jenipapo,Brejo da Guabiraba,Rua dos Coquinhos,residential
Córrego do Jenipapo,Guabiraba,Rua dos Coquinhos,residential
Macaxeira,Alto do Mandu,Rua Maria Cândida,tertiary
Macaxeira,Córrego do Jenipapo,Rua Maria Cândida,tertiary
Macaxeira,Nova Descoberta,"['Rua Ida Maria', 'Rua Nova Iguaçu']",residential
Macaxeira,Apipucos,Rua Maria Cândida,tertiary
Nova Descoberta,Alto do Mandu,Rua Alto da Brasileira,residential
Nova Descoberta,Casa Amarela,Rua Alto da Brasileira,residential
Nova Descoberta,Córrego do Jenipapo,Rua Alto da Brasileira,residential
Nova Descoberta,Macaxeira,Rua Alto da Brasileira,residential
Nova Descoberta,Vasco da Gama,Rua Alto da Brasileira,residential
Nova Descoberta,Brejo da Guabiraba,Rua Alto da Brasileira,residential
Nova Descoberta,Brejo de Beberibe,Rua Alto da Brasileira,residential
